transaction_id,timestamp,customer_email,subscription_tier,subscription_plan,amount,currency,country,ip_address,card_bin,card_last4,bin_country,status,risk_score,risk_level,signals_triggered
txn_00450,2026-01-20 01:23:54,acct450@protonmail.com,annual,Annual Premium Plus,1390.0,MXN,MX,189.68.135.59,438600,3135,MX,approved,0,LOW,[]
txn_00333,2026-01-20 02:05:40,cliente333@hotmail.com,annual,Annual Premium,199000.0,COP,CO,190.247.141.144,601100,5825,CO,declined_insufficient_funds,0,LOW,[]
txn_00803,2026-01-20 02:25:48,cliente803@outlook.com,monthly,Monthly Basic,19900.0,COP,CO,190.251.229.8,601100,4532,CO,approved,0,LOW,[]
txn_00679,2026-01-20 02:51:02,cliente679@gmail.com,monthly,Monthly Pro,59900.0,COP,CO,190.250.123.243,438600,8593,CO,approved,0,LOW,[]
txn_00041,2026-01-20 03:18:13,cliente5036@yahoo.com,monthly,Monthly Standard,199.0,MXN,MX,189.134.82.226,999001,9850,MX,approved,25,MEDIUM,"[""bin_decline_rate""]"
txn_00453,2026-01-20 08:17:18,cliente453@gmail.com,monthly,Monthly Basic,4.99,BRL,BR,187.246.109.205,451200,5223,BR,approved,0,LOW,[]
txn_00636,2026-01-20 08:24:59,user636@gmail.com,monthly,Monthly Pro,299.0,MXN,MX,189.38.76.18,411111,8978,MX,approved,0,LOW,[]
txn_00308,2026-01-20 09:17:05,acct308@outlook.com,monthly,Monthly Standard,39900.0,COP,CO,190.251.229.8,650000,2415,CO,approved,0,LOW,[]
txn_00491,2026-01-20 10:38:24,sub491@yahoo.com,annual,Annual Premium Plus,69.99,BRL,BR,187.239.27.50,411111,9059,BR,approved,0,LOW,[]
txn_00310,2026-01-20 11:10:43,acct310@yahoo.com,annual,Annual Premium Plus,69.99,BRL,BR,187.3.36.30,411111,4817,BR,approved,0,LOW,[]
txn_00604,2026-01-20 12:33:48,member604@protonmail.com,monthly,Monthly Standard,199.0,MXN,MX,189.80.224.154,601100,1864,MX,approved,0,LOW,[]
txn_00524,2026-01-20 13:19:19,cliente524@protonmail.com,monthly,Monthly Basic,4.99,BRL,BR,187.142.248.109,451200,2974,BR,approved,0,LOW,[]
txn_00674,2026-01-20 14:12:11,sub674@yahoo.com,monthly,Monthly Standard,9.99,BRL,BR,187.83.189.181,451200,7056,BR,approved,0,LOW,[]
txn_00384,2026-01-20 14:51:14,cliente384@gmail.com,monthly,Monthly Pro,299.0,MXN,MX,189.121.83.90,438600,6416,MX,declined_fraud,0,LOW,[]
txn_00631,2026-01-20 16:44:12,cliente631@hotmail.com,monthly,Monthly Standard,9.99,BRL,BR,187.52.44.216,438600,1750,BR,approved,0,LOW,[]
txn_00285,2026-01-20 18:58:08,customer285@outlook.com,monthly,Monthly Standard,39900.0,COP,CO,190.236.93.25,411111,2631,CO,declined_fraud,0,LOW,[]
txn_00519,2026-01-20 18:59:37,member519@protonmail.com,monthly,Monthly Standard,9.99,BRL,BR,187.115.32.173,411111,1567,BR,chargeback,0,LOW,[]
txn_00682,2026-01-20 20:26:29,acct682@protonmail.com,annual,Annual Basic,599.0,MXN,MX,189.124.75.2,424242,7114,MX,approved,0,LOW,[]
txn_00881,2026-01-20 21:02:54,cliente881@hotmail.com,monthly,Monthly Basic,19900.0,COP,CO,190.131.188.85,438600,5573,CO,approved,0,LOW,[]
txn_00572,2026-01-20 21:48:30,acct572@protonmail.com,monthly,Monthly Standard,39900.0,COP,CO,190.133.194.167,601100,6169,CO,approved,0,LOW,[]
txn_00071,2026-01-20 21:50:07,member7071@gmail.com,monthly,Monthly Standard,39900.0,COP,CO,190.116.184.91,411111,8147,CO,approved,30,MEDIUM,"[""rapid_tier_upgrade""]"
txn_00136,2026-01-20 22:08:28,cliente6136@outlook.com,monthly,Monthly Basic,19900.0,COP,CO,190.129.244.58,411111,2298,CO,declined_fraud,25,MEDIUM,"[""repeated_failures""]"
txn_00137,2026-01-20 22:28:28,cliente6136@outlook.com,monthly,Monthly Pro,59900.0,COP,CO,190.129.244.58,411111,2298,CO,declined_insufficient_funds,25,MEDIUM,"[""repeated_failures""]"
txn_00138,2026-01-20 22:48:28,cliente6136@outlook.com,monthly,Monthly Standard,39900.0,COP,CO,190.129.244.58,411111,2298,CO,declined_insufficient_funds,25,MEDIUM,"[""repeated_failures""]"
txn_00072,2026-01-20 22:50:07,member7071@gmail.com,annual,Annual Premium,199000.0,COP,CO,190.116.184.91,411111,8147,CO,approved,30,MEDIUM,"[""rapid_tier_upgrade""]"
txn_00139,2026-01-20 23:08:28,cliente6136@outlook.com,monthly,Monthly Standard,39900.0,COP,CO,190.129.244.58,411111,2298,CO,declined_fraud,25,MEDIUM,"[""repeated_failures""]"
txn_00725,2026-01-20 23:11:43,customer725@outlook.com,monthly,Monthly Standard,199.0,MXN,MX,189.35.142.179,531313,1691,MX,declined_fraud,0,LOW,[]
txn_00140,2026-01-20 23:38:28,cliente6136@outlook.com,monthly,Monthly Basic,19900.0,COP,CO,190.129.244.58,411111,2298,CO,approved,25,MEDIUM,"[""repeated_failures""]"
