transaction_id,timestamp,customer_email,subscription_tier,subscription_plan,amount,currency,country,ip_address,card_bin,card_last4,bin_country,status
txn_00361,2026-01-20T00:47:46,acct361@outlook.com,monthly,Solaris Monthly,4.99,BRL,BR,187.29.41.95,541500,1326,BR,approved
txn_00316,2026-01-20T01:15:56,customer316@gmail.com,monthly,Solaris Monthly,99.0,MXN,MX,189.136.81.55,451200,2494,MX,approved
txn_00333,2026-01-20T02:59:33,cliente333@protonmail.com,monthly,Solaris Monthly,4.99,BRL,BR,187.81.216.32,424242,2889,BR,declined_fraud
txn_00511,2026-01-20T05:25:09,sub511@protonmail.com,monthly,Solaris Monthly,4.99,BRL,BR,187.29.41.95,541500,8450,BR,approved
txn_00068,2026-01-20T07:06:49,user5064@protonmail.com,annual,Solaris Annual,990.0,MXN,MX,189.134.82.226,999004,2140,MX,approved
txn_00499,2026-01-20T08:17:18,cliente499@gmail.com,monthly,Solaris Monthly,19900.0,COP,CO,190.141.5.97,451200,5223,CO,approved
txn_00319,2026-01-20T09:52:25,acct319@protonmail.com,monthly,Solaris Monthly,4.99,BRL,BR,187.142.232.186,531313,2120,BR,approved
txn_00206,2026-01-20T10:31:38,sub3206@yahoo.com,monthly,Solaris Monthly,19900.0,COP,CO,185.220.101.156,999001,2584,CO,approved
txn_00541,2026-01-20T10:38:24,sub541@yahoo.com,annual,Solaris Annual,49.99,BRL,BR,187.239.27.50,411111,9059,BR,declined_fraud
txn_00207,2026-01-20T12:24:38,cliente3207@hotmail.com,monthly,Solaris Monthly,19900.0,COP,CO,185.220.101.156,999001,6990,CO,declined_fraud
txn_00203,2026-01-20T12:57:38,user3203@protonmail.com,monthly,Solaris Monthly,19900.0,COP,CO,185.220.101.156,999001,7563,CO,declined_fraud
txn_00470,2026-01-20T12:59:27,member470@yahoo.com,monthly,Solaris Monthly,99.0,MXN,MX,189.225.39.146,601100,3360,MX,approved
txn_00202,2026-01-20T13:11:38,customer3202@yahoo.com,monthly,Solaris Monthly,19900.0,COP,CO,185.220.101.156,999001,5333,CO,approved
txn_00522,2026-01-20T13:46:16,customer522@gmail.com,monthly,Solaris Monthly,4.99,BRL,BR,187.116.148.40,438600,6171,BR,approved
txn_00205,2026-01-20T13:49:38,acct3205@protonmail.com,monthly,Solaris Monthly,19900.0,COP,CO,185.220.101.156,999001,5582,CO,declined_fraud
txn_00349,2026-01-20T13:55:50,cliente349@gmail.com,monthly,Solaris Monthly,99.0,MXN,MX,189.54.79.139,438600,2669,MX,declined_fraud
txn_00204,2026-01-20T14:18:38,user3204@outlook.com,monthly,Solaris Monthly,19900.0,COP,CO,185.220.101.156,999001,5728,CO,approved
txn_00325,2026-01-20T16:04:13,acct325@gmail.com,monthly,Solaris Monthly,4.99,BRL,BR,187.239.27.50,424242,1273,BR,approved
txn_00159,2026-01-20T18:55:24,member8159@yahoo.com,annual,Solaris Annual,49.99,BRL,BR,5.188.96.185,451200,6649,BR,declined_fraud
